b_column_id,b_column,access_scope,known_plant_ids,known_plant_names,membership_status,note,source_urls
1,其他小水力,shared,16|17|1|19|12|9|13|22|14|20,桂山發電廠|石門發電廠|卓蘭發電廠|萬大發電廠|明潭發電廠|大甲溪發電廠|曾文發電廠|高屏發電廠|東部發電廠|蘭陽發電廠,partial,殘差彙總；列出主檔可對應部分，組成可能隨資料版本改變。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
2,卓蘭,plant,1,卓蘭發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
3,協和 (#1-#4),plant,2,協和發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
4,南部 (#1-#4),plant,4,南部發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
5,台中#1,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
6,台中#10,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
7,台中#2,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
8,台中#3,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
9,台中#4,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
10,台中#5,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
11,台中#6,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
12,台中#7,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
13,台中#8,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
14,台中#9,plant,5,台中發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
15,和平#1,plant,23,和平電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
16,和平#2,plant,23,和平電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
17,嘉惠(#1~#2),plant,30,嘉惠電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
18,國光 #1,plant,25,國光電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
19,大林#1,plant,7,大林發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
20,大林#2,plant,7,大林發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
21,大林(#5-#6),plant,7,大林發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
22,大潭 (#1-#9),plant,8,大潭發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
23,大觀,plant,10,大觀發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
24,大觀二,plant,10,大觀發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
25,天輪,plant,9,大甲溪發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
26,太陽能發電,shared,,,unknown,太陽能合計，網站少數光電站不代表完整組成。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
27,德基,plant,9,大甲溪發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
28,新桃#1,plant,26,新桃電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
29,明潭,plant,12,明潭發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
30,星元#1,plant,28,星元電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
31,星彰#1,plant,27,星彰電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999|https://starenergypower.com.tw/changbin_intro.php
32,林口#1,plant,15,林口發電廠,complete,依所屬電廠控管；同廠多機或分廠合計仍屬本廠資料。,https://data.gov.tw/dataset/19995|https://data.gov.tw/dataset/8934
