outage_id,source_unit_name,plant_id,plant_name,unit_id,mapping_level,access_scope,source_urls
1,立霧,14,東部發電廠,,plant_only,plant,https://service.taipower.com.tw/tpcjournal/article/7764
2,觀一#2,10,大觀發電廠,82,unit,plant,https://data.gov.tw/dataset/8934
3,明潭#5,12,明潭發電廠,109,unit,plant,https://data.gov.tw/dataset/8934
4,清水#3,14,東部發電廠,122,unit,plant,https://data.gov.tw/dataset/8934
5,石門#1,17,石門發電廠,144,unit,plant,https://data.gov.tw/dataset/8934
6,天輪#2,9,大甲溪發電廠,63,unit,plant,https://data.gov.tw/dataset/8934
7,水簾,14,東部發電廠,119,unit,plant,https://data.gov.tw/dataset/8934
8,松林#1,19,萬大發電廠,154,unit,plant,https://data.gov.tw/dataset/8934
9,天埤#2,20,蘭陽發電廠,163,unit,plant,https://data.gov.tw/dataset/8934
10,天埤#4,20,蘭陽發電廠,165,unit,plant,https://data.gov.tw/dataset/8934
11,六龜#1,22,高屏發電廠,173,unit,plant,https://data.gov.tw/dataset/8934
12,北山,12,明潭發電廠,102,unit,plant,https://data.gov.tw/dataset/8934
13,銅門#3,14,東部發電廠,130,unit,plant,https://data.gov.tw/dataset/8934
14,卓蘭#1,1,卓蘭發電廠,1,unit,plant,https://data.gov.tw/dataset/8934
15,觀一#3,10,大觀發電廠,83,unit,plant,https://data.gov.tw/dataset/8934
16,天輪#1,9,大甲溪發電廠,62,unit,plant,https://data.gov.tw/dataset/8934
17,青山#2,9,大甲溪發電廠,77,unit,plant,https://data.gov.tw/dataset/8934
18,銅門#1,14,東部發電廠,128,unit,plant,https://data.gov.tw/dataset/8934
19,明潭#4,12,明潭發電廠,108,unit,plant,https://data.gov.tw/dataset/8934
20,銅門#2,14,東部發電廠,129,unit,plant,https://data.gov.tw/dataset/8934
21,林口#2,15,林口發電廠,136,unit,plant,https://data.gov.tw/dataset/8934
22,台中#4,5,台中發電廠,27,unit,plant,https://data.gov.tw/dataset/8934
23,大林#1,7,大林發電廠,49,unit,plant,https://data.gov.tw/dataset/8934
24,台中#8,5,台中發電廠,24,unit,plant,https://data.gov.tw/dataset/8934
25,台中#6,5,台中發電廠,25,unit,plant,https://data.gov.tw/dataset/8934
26,台中#7,5,台中發電廠,19,unit,plant,https://data.gov.tw/dataset/8934
27,林口#3,15,林口發電廠,135,unit,plant,https://data.gov.tw/dataset/8934
28,大林#2,7,大林發電廠,50,unit,plant,https://data.gov.tw/dataset/8934
29,協和#3,2,協和發電廠,4,unit,plant,https://data.gov.tw/dataset/8934
30,台中GAS#4,5,台中發電廠,17,unit,plant,https://data.gov.tw/dataset/8934
31,大潭#1,8,大潭發電廠,53,unit,plant,https://data.gov.tw/dataset/8934
32,興達CC#3,18,興達發電廠,150,unit,plant,https://data.gov.tw/dataset/8934
33,興達CC#3,18,興達發電廠,150,unit,plant,https://data.gov.tw/dataset/8934
34,興達CC#3,18,興達發電廠,150,unit,plant,https://data.gov.tw/dataset/8934
35,興達CC#3,18,興達發電廠,150,unit,plant,https://data.gov.tw/dataset/8934
36,大潭#8,8,大潭發電廠,,plant_only,plant,https://hc1.taipower.com.tw/2289/2363/2400/2401/11676/normalPost
37,大潭#8,8,大潭發電廠,,plant_only,plant,https://hc1.taipower.com.tw/2289/2363/2400/2401/11676/normalPost
38,大潭#8,8,大潭發電廠,,plant_only,plant,https://hc1.taipower.com.tw/2289/2363/2400/2401/11676/normalPost
39,大潭#1,8,大潭發電廠,53,unit,plant,https://data.gov.tw/dataset/8934
40,大潭#1,8,大潭發電廠,53,unit,plant,https://data.gov.tw/dataset/8934
41,南部#1,4,南部發電廠,10,unit,plant,https://data.gov.tw/dataset/8934
42,南部#1,4,南部發電廠,10,unit,plant,https://data.gov.tw/dataset/8934
43,南部#1,4,南部發電廠,10,unit,plant,https://data.gov.tw/dataset/8934
44,通霄#3,21,通霄發電廠,168,unit,plant,https://data.gov.tw/dataset/8934
45,通霄#3,21,通霄發電廠,168,unit,plant,https://data.gov.tw/dataset/8934
46,通霄#3,21,通霄發電廠,168,unit,plant,https://data.gov.tw/dataset/8934
47,興達CC#4,18,興達發電廠,153,unit,plant,https://data.gov.tw/dataset/8934
48,興達CC#4,18,興達發電廠,153,unit,plant,https://data.gov.tw/dataset/8934
49,興達CC#4,18,興達發電廠,153,unit,plant,https://data.gov.tw/dataset/8934
50,興達CC#4,18,興達發電廠,153,unit,plant,https://data.gov.tw/dataset/8934
51,大林#6,7,大林發電廠,51,unit,plant,https://data.gov.tw/dataset/8934
52,通霄#1,21,通霄發電廠,167,unit,plant,https://data.gov.tw/dataset/8934
53,通霄#1,21,通霄發電廠,167,unit,plant,https://data.gov.tw/dataset/8934
54,通霄#1,21,通霄發電廠,167,unit,plant,https://data.gov.tw/dataset/8934
55,大潭#3,8,大潭發電廠,54,unit,plant,https://data.gov.tw/dataset/8934
56,大潭#3,8,大潭發電廠,54,unit,plant,https://data.gov.tw/dataset/8934
57,大潭#3,8,大潭發電廠,54,unit,plant,https://data.gov.tw/dataset/8934
58,通霄#6,21,通霄發電廠,171,unit,plant,https://data.gov.tw/dataset/8934
59,通霄#6,21,通霄發電廠,171,unit,plant,https://data.gov.tw/dataset/8934
60,通霄#6,21,通霄發電廠,171,unit,plant,https://data.gov.tw/dataset/8934
61,南部#4,4,南部發電廠,13,unit,plant,https://data.gov.tw/dataset/8934
62,大潭#9,8,大潭發電廠,,plant_only,plant,https://hc1.taipower.com.tw/2289/2363/2400/2401/11676/normalPost
63,大潭#9,8,大潭發電廠,,plant_only,plant,https://hc1.taipower.com.tw/2289/2363/2400/2401/11676/normalPost
64,大潭#9,8,大潭發電廠,,plant_only,plant,https://hc1.taipower.com.tw/2289/2363/2400/2401/11676/normalPost
65,通霄#2,21,通霄發電廠,169,unit,plant,https://data.gov.tw/dataset/8934
66,通霄#2,21,通霄發電廠,169,unit,plant,https://data.gov.tw/dataset/8934
67,通霄#2,21,通霄發電廠,169,unit,plant,https://data.gov.tw/dataset/8934
68,大潭#2,8,大潭發電廠,55,unit,plant,https://data.gov.tw/dataset/8934
69,明潭#4,12,明潭發電廠,108,unit,plant,https://data.gov.tw/dataset/8934
70,天埤#1,20,蘭陽發電廠,162,unit,plant,https://data.gov.tw/dataset/8934
71,天埤#3,20,蘭陽發電廠,164,unit,plant,https://data.gov.tw/dataset/8934
72,圓山#1,20,蘭陽發電廠,160,unit,plant,https://data.gov.tw/dataset/8934
73,后里#1,9,大甲溪發電廠,59,unit,plant,https://data.gov.tw/dataset/8934
74,后里#2,9,大甲溪發電廠,60,unit,plant,https://data.gov.tw/dataset/8934
75,青山#2,9,大甲溪發電廠,77,unit,plant,https://data.gov.tw/dataset/8934
76,萬大#1,19,萬大發電廠,156,unit,plant,https://data.gov.tw/dataset/8934
77,萬大#2,19,萬大發電廠,157,unit,plant,https://data.gov.tw/dataset/8934
78,觀一#3,10,大觀發電廠,83,unit,plant,https://data.gov.tw/dataset/8934
79,龍澗#1,14,東部發電廠,132,unit,plant,https://data.gov.tw/dataset/8934
80,龍澗#2,14,東部發電廠,133,unit,plant,https://data.gov.tw/dataset/8934
81,立霧#1,14,東部發電廠,126,unit,plant,https://data.gov.tw/dataset/8934
82,觀二#1,10,大觀發電廠,86,unit,plant,https://data.gov.tw/dataset/8934
83,明潭#1,12,明潭發電廠,105,unit,plant,https://data.gov.tw/dataset/8934
84,桂山#1,16,桂山發電廠,137,unit,plant,https://data.gov.tw/dataset/8934
85,烏來#1,16,桂山發電廠,139,unit,plant,https://data.gov.tw/dataset/8934
86,天輪#4,9,大甲溪發電廠,65,unit,plant,https://data.gov.tw/dataset/8934
87,青山#3,9,大甲溪發電廠,76,unit,plant,https://data.gov.tw/dataset/8934
88,鉅工#2,12,明潭發電廠,115,unit,plant,https://data.gov.tw/dataset/8934
89,溪口,14,東部發電廠,124,unit,plant,https://data.gov.tw/dataset/8934
90,碧海,14,東部發電廠,125,unit,plant,https://data.gov.tw/dataset/8934
91,林口#3,15,林口發電廠,135,unit,plant,https://data.gov.tw/dataset/8934
92,台中#7,5,台中發電廠,19,unit,plant,https://data.gov.tw/dataset/8934
93,大林#2,7,大林發電廠,50,unit,plant,https://data.gov.tw/dataset/8934
94,台中#9,5,台中發電廠,21,unit,plant,https://data.gov.tw/dataset/8934
95,林口#1,15,林口發電廠,134,unit,plant,https://data.gov.tw/dataset/8934
96,台中#10,5,台中發電廠,26,unit,plant,https://data.gov.tw/dataset/8934
97,台中#3,5,台中發電廠,20,unit,plant,https://data.gov.tw/dataset/8934
98,台中#4,5,台中發電廠,27,unit,plant,https://data.gov.tw/dataset/8934
99,台中#5,5,台中發電廠,23,unit,plant,https://data.gov.tw/dataset/8934
