plant_id,plant_name,plant_type,fuel_types,ownership,aliases,source_urls
1,卓蘭發電廠,水力,水,台電,卓蘭,https://data.gov.tw/dataset/8934
2,協和發電廠,火力,重油,台電,協和,https://data.gov.tw/dataset/8934
3,協和電廠－珠山分廠,火力,重油,台電,珠山|珠山分廠,https://data.gov.tw/dataset/8934
4,南部發電廠,火力,天然氣,台電,南部,https://data.gov.tw/dataset/8934
5,台中發電廠,火力,煤|輕柴油,台電,台中,https://data.gov.tw/dataset/8934
6,塔山發電廠,火力,輕柴油|重油,台電,塔山,https://data.gov.tw/dataset/8934
7,大林發電廠,火力,天然氣|煤,台電,大林,https://data.gov.tw/dataset/8934
8,大潭發電廠,火力,天然氣,台電,大潭,https://data.gov.tw/dataset/8934
9,大甲溪發電廠,水力,水,台電,大甲溪,https://data.gov.tw/dataset/8934
10,大觀發電廠,水力,水,台電,大觀,https://data.gov.tw/dataset/8934
11,尖山發電廠,火力,重油,台電,尖山,https://data.gov.tw/dataset/8934
12,明潭發電廠,水力,水,台電,明潭,https://data.gov.tw/dataset/8934
13,曾文發電廠,水力,水,台電,曾文,https://data.gov.tw/dataset/8934
14,東部發電廠,水力,水,台電,東部,https://data.gov.tw/dataset/8934
15,林口發電廠,火力,煤,台電,林口,https://data.gov.tw/dataset/8934
16,桂山發電廠,水力,水,台電,桂山,https://data.gov.tw/dataset/8934
17,石門發電廠,水力,水,台電,石門,https://data.gov.tw/dataset/8934
18,興達發電廠,火力,天然氣|煤,台電,興達,https://data.gov.tw/dataset/8934
19,萬大發電廠,水力,水,台電,萬大,https://data.gov.tw/dataset/8934
20,蘭陽發電廠,水力,水,台電,蘭陽,https://data.gov.tw/dataset/8934
21,通霄發電廠,火力,天然氣,台電,通霄,https://data.gov.tw/dataset/8934
22,高屏發電廠,水力,水,台電,高屏,https://data.gov.tw/dataset/8934
23,和平電廠,火力,煤,民營,和平,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
24,海湖電廠,火力,天然氣,民營,海湖|長生電力,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
25,國光電廠,火力,天然氣,民營,國光|國光電力,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
26,新桃電廠,火力,天然氣,民營,新桃|新桃電力,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
27,星彰電廠,火力,天然氣,民營,星彰|彰濱電廠|星能電力,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999|https://starenergypower.com.tw/changbin_intro.php
28,星元電廠,火力,天然氣,民營,星元|星元電力,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
29,麥寮電廠,火力,煤,民營,麥寮|麥寮汽電,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
30,嘉惠電廠,火力,天然氣,民營,嘉惠|嘉惠電力,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999
31,豐德電廠,火力,天然氣,民營,豐德|森霸電力,https://www.taipower.com.tw/2289/59899/59902/|https://www.taipower.com.tw/2289/2558/2387/10656/|https://www.moeaea.gov.tw/ecw/populace/content/Content.aspx?menu_id=999|https://www.sunbapower.com.tw/service/
32,核一廠,核能,核燃料,台電,核一,https://www.taipower.com.tw/2289/2363/2380/2382/10534/normalPost
33,核二廠,核能,核燃料,台電,核二,https://www.taipower.com.tw/2289/2363/2380/2382/10534/normalPost
34,核三廠,核能,核燃料,台電,核三,https://www.taipower.com.tw/2289/2363/2380/2382/10534/normalPost
