發電站編號/Number of The Power Station,能源別/Type of Energy,發電站名稱/Name of The Power Station,場址編號/Number of the Site,場址說明/Description fo The Site,型號/Model,裝置容量(瓩)/Installed Capacity(kW),風機數量/Number of The Windturbine,地址/Address,申設狀態/Application Status,備註/Remarks
1,陸域風力/Onshore Wind,石門風力發電站/Shimen Wind Power Station,1,石門(#1~#6),Vestas V47,2640,4,新北市石門區尖鹿里,取得執照,輪轂高度:45公尺
2,陸域風力/Onshore Wind,林口風力發電站/Linkou Wind Power Station,2,林口(#4~#6),Vestas V80,6000,3,新北市林口區下福里139-1號,取得執照,輪轂高度:67公尺
3,陸域風力/Onshore Wind,蘆竹風力發電站/Luzhu Wind Power Station,3,蘆竹(#1~#8),Enercon E44,7200,8,桃園市蘆竹區坑口里、濱海里,取得執照,輪轂高度:45公尺
4,陸域風力/Onshore Wind,觀園風力發電站/Guanyuan Wind Power Station,4,觀園(#1~#20),GE 1.5se,30000,20,桃園市大園區北港里(#1~#5)、觀音區草漯里(#6~#11)、觀音區樹林里(#12~#20),取得執照,輪轂高度:64.7公尺
5,陸域風力/Onshore Wind,大潭風力發電站/Datan Wind Power Station,5,大潭1(#1~#2),GE 1.5se,4500,2,桃園市觀音區大潭里、保生里,取得執照,輪轂高度:64.7公尺
-,陸域風力/Onshore Wind,大潭風力發電站/Datan Wind Power Station,6,大潭2(#6、#7),Enercon E70,4600,2,桃園市觀音區大潭里、保生里,取得執照,輪轂高度:64公尺
-,陸域風力/Onshore Wind,大潭風力發電站/Datan Wind Power Station,7,大潭3(#4、#5、#8),Vestas V80,6000,3,桃園市觀音區大潭里、保生里,取得執照,輪轂高度:78公尺
6,陸域風力/Onshore Wind,新竹香山風力發電站/Hsinchu Xiangshan Wind Power Station,8,新竹香山(#1~#6),Gamesa G80,12000,6,新竹市香山區海山里(#1.#2)、南港里(#3~#6),取得執照,輪轂高度:67公尺
7,陸域風力/Onshore Wind,台中港區風力發電站/Taichung Harbor Wind Power Station,9,台中港1(#5~#10、#12~#18),Zephyros Z72,26000,13,台中市清水區南高里,取得執照,輪轂高度:65公尺
-,陸域風力/Onshore Wind,台中港區風力發電站/Taichung Harbor Wind Power Station,10,台中港2(#1~#3),Enercon E82E4,9000,3,台中市清水區南高里,取得執照,輪轂高度:78公尺
8,陸域風力/Onshore Wind,台中電廠風力發電站/Taichung Power Plant Wind Power Station,11,台中電廠(#2~#4),Zephyros Z72,2000,1,台中市龍井區麗水里龍昌路1號,取得執照,輪轂高度:65公尺
9,陸域風力/Onshore Wind,彰工風力發電站/Changgong Wind Power Station,12,彰工1(#1~#23),Vestas V80,46000,23,彰化縣伸港鄉(#1~#8)、線西鄉(#9~#15)、鹿港鎮(#16~#23),取得執照,輪轂高度:67公尺
-,陸域風力/Onshore Wind,彰工風力發電站/Changgong Wind Power Station,13,彰工2(#24~#31),Vestas V80,16000,8,彰化縣伸港鄉(#24~#28)、線西鄉(#29~#31),取得執照,輪轂高度:67公尺
-,陸域風力/Onshore Wind,彰工風力發電站/Changgong Wind Power Station,14,彰工3(#32~#35),Enercon E70,9200,4,彰化縣伸港鄉(#32)、線西鄉(#33~#35),取得執照,輪轂高度:76公尺
-,陸域風力/Onshore Wind,彰工風力發電站/Changgong Wind Power Station,15,彰工4(#36~#40),Enercon E82E4,15000,5,彰化縣鹿港鎮(#36~#40),取得執照,輪轂高度:78公尺
10,陸域風力/Onshore Wind,彰化王功風力發電站/Changhua Wanggong Wind Power Station,16,彰化王功(#1~#10),Enercon E70,23000,10,彰化縣芳苑鄉新寶村,取得執照,輪轂高度:76公尺
11,陸域風力/Onshore Wind,彰化永興風力發電站/Changhua Yongxing Wind Power Station,17,彰化永興(#1~#4),Enercon E70,9200,4,彰化縣芳苑鄉芳苑村,取得執照,輪轂高度:76公尺
12,陸域風力/Onshore Wind,雲林麥寮風力發電站/Yunlin Mailiao Wind Power Station,18,雲林麥寮1(#1~#15),Vestas V80,30000,15,雲林縣麥寮鄉新吉村(#1~#2)、三盛村(#3~#23),取得執照,輪轂高度:67公尺
-,陸域風力/Onshore Wind,雲林麥寮風力發電站/Yunlin Mailiao Wind Power Station,19,雲林麥寮2(#16~#23),Vestas V80,16000,8,雲林縣麥寮鄉三盛村(#3~#23),取得執照,輪轂高度:67公尺
13,陸域風力/Onshore Wind,雲林台西風力發電站/Yunlin Taixi Wind Power Station,20,雲林台西(#1~#4),Enercon E70E4,9200,4,雲林縣台西鄉台興段,試運轉,"輪轂高度:64公尺
試運轉中(113.10.24併聯)"
14,陸域風力/Onshore Wind,雲林四湖風力發電站/Yunlin Sihu Wind Power Station,21,雲林四湖(#1~#14),Vestas V80,28000,14,雲林縣四湖鄉林厝村(#1~#5)、崙北村(#6~#7)、崙南村(#8)、箔子村(#9~#14),取得執照,輪轂高度:67公尺
15,陸域風力/Onshore Wind,恆春風力發電站/Hengchun Wind Power Station,22,恆春(#1~#3),GE 1.5se,4500,3,屏東縣恆春鎮南灣里,取得執照,輪轂高度:64.7公尺
16,陸域風力/Onshore Wind,澎湖湖西風力發電站/Penghu Huxi Wind Power Station,23,澎湖湖西(#1~#6),Enercon E44,5400,6,澎湖縣湖西鄉菓葉村(#1)、南寮村(#2~#3)、北寮村(#4~#6),取得執照,輪轂高度:76公尺
17,陸域風力/Onshore Wind,金沙風力發電站/Jinsha Wind Power Station,24,金沙(#1.#2),Vestas V80,4000,2,金門縣金沙鎮三山里,取得執照,輪轂高度:67公尺
18,陸域風力/Onshore Wind,澎湖龍門風力發電站/Penghu Longmen Wind Power Station,25,澎湖龍門(#2.#5.#6),Enercon E82E4,9000,3,澎湖縣湖西鄉尖山村29-2號,取得執照,輪轂高度:78公尺
1,離岸風力/Offshore Wind,離岸一期風力發電站/Offshore Phase1 Wind Power Station,1,離岸一期(#1~#21),Hitachi HTW5.2-127,109200,21,彰化縣芳苑鄉外海7.2-8.7公里處,取得執照,輪轂高度:95~99公尺
1,太陽能/Solar,大潭電廠太陽光電發電站/Datang Power Plant Solar Power Station,1,大潭電廠#1.#2生水池,a2 Peak PEAK ON P230-60,651,,桃園市觀音區大潭里電廠路1號,取得執照,
-,太陽能/Solar,大潭電廠太陽光電發電站/Datang Power Plant Solar Power Station,2,大潭電廠GIS廠房,D6M305H3A,710,,桃園市觀音區大潭里電廠路1號,取得執照,
2,太陽能/Solar,北部儲運中心太陽光電發電站/Northern Storage and Transportation Center Solar Power Station,3,北部儲運中心,D6M305H3A,908,,桃園市觀音區快速路​九段2208號,取得執照,
3,太陽能/Solar,龍潭E/S太陽光電發電站/Longtan E/S Solar Power Station,4,龍潭E/S,MM60 SRT 300,162,,新竹縣湖口鄉八德路三段135巷30號,取得執照,
4,太陽能/Solar,竹工E/S太陽光電發電站/Zhugong E/S Solar Power Station,5,竹工E/S,MM60 SRT 300,228,,新竹縣關西鎮仁安里台電新村66之3號,取得執照,
5,太陽能/Solar,台中電廠太陽光電發電站/Taichung Power Plant Solar Power Station,6,台中電廠D.E生水池,Kyocera KD210GH-2P,1509,,台中市龍井區麗水里龍昌路1號,取得執照,
-,太陽能/Solar,台中電廠太陽光電發電站/Taichung Power Plant Solar Power Station,7,台中電廠B.C生水池,Delsolar D6p240B3A,614,,台中市龍井區麗水里龍昌路1號,取得執照,
-,太陽能/Solar,台中電廠太陽光電發電站/Taichung Power Plant Solar Power Station,8,台中電廠建物,WINAICO WSP-310M6,1096,,台中市龍井區麗水里龍昌路1號,取得執照,
-,太陽能/Solar,台中電廠太陽光電發電站/Taichung Power Plant Solar Power Station,9,台中電廠GIS廠房,WINAICO WSP-310M6,246,,台中市龍井區麗水里龍昌路1號,取得執照,
6,太陽能/Solar,台中龍井太陽光電發電站/Taichung Longjing Solar Power Station,10,台中龍井(I)第一標,TOPPER SUN/TS-M240A3-6100,2002,,台中市龍井區麗水里,取得執照,
-,太陽能/Solar,台中龍井太陽光電發電站/Taichung Longjing Solar Power Station,11,台中龍井(I)第二標,Delsolar D6p240B3A,1764,,台中市龍井區麗水里,取得執照,
-,太陽能/Solar,台中龍井太陽光電發電站/Taichung Longjing Solar Power Station,12,台中龍井(II),GreenTriplex PM245P00,2720,,台中市龍井區麗水里,取得執照,
7,太陽能/Solar,中科E/S太陽光電發電站/Zhongke E/S Solar Power Station,13,中科E/S,MM60 SRT 300,198,,台中市西屯區科園一路1號,取得執照,
8,太陽能/Solar,彰化彰濱太陽光電發電站/Changhua Changbin Solar Power Station,14,彰化彰濱,D6L295K3A,99999,,彰化縣鹿港鎮山崙里21鄰崙工路53號,取得執照,
9,太陽能/Solar,彰林E/S太陽光電發電站/Changlin E/S Solar Power Station,15,彰林E/S,MM60 SRT 300,258,,彰化縣埤頭鄉豐崙村沙崙路917號,取得執照,
