station_key,status,energy_type,county,site_name,generation_name,site_count,capacity_kw,months,total_kwh,missing_months
中大,matched,太陽能,桃園市,中大,中大,1,40,31,88993,0
中屯風力,generation_only,陸域風力,,,中屯風力,0,0,21,0,15
中科,matched,太陽能,台中市,中科,中科,1,198,31,634530,0
中部儲運中心太陽光電,matched,太陽能,台中市,中部儲運中心太陽光電發電站,中部儲運中心太陽光電,1,92,31,245263,0
仁澤地熱,matched,地熱,宜蘭縣,仁澤地熱,仁澤地熱,1,840,31,6945014,0
北部儲運中心太陽光電,matched,太陽能,桃園市,北部儲運中心太陽光電發電站,北部儲運中心太陽光電,1,908,31,2780890,0
卓蘭會館太陽光電,matched,太陽能,苗栗縣,卓蘭會館太陽光電發電站,卓蘭會館太陽光電,1,42,31,103629,0
南投大彎太陽光電,matched,太陽能,南投縣,南投大彎太陽光電發電站,南投大彎太陽光電,2,1585,31,3295151,0
台中港區風力,matched,陸域風力,台中市,台中港區風力發電站,台中港區風力,2,35000,31,174183440,0
台中電廠太陽光電,matched,太陽能,台中市,台中電廠太陽光電發電站,台中電廠太陽光電,4,3465,31,10845206,0
台中電廠風力,matched,陸域風力,台中市,台中電廠風力發電站,台中電廠風力,1,2000,31,7307603,0
台中龍井太陽光電,matched,太陽能,台中市,台中龍井太陽光電發電站,台中龍井太陽光電,3,6486,31,18711108,0
台南七股太陽光電,matched,太陽能,台南市,台南七股太陽光電發電站,台南七股太陽光電,2,5100,31,19487417,0
台南鹽田太陽光電,matched,太陽能,台南市,台南鹽田太陽光電發電站,台南鹽田太陽光電,2,150097,31,572235654,0
后里,matched,太陽能,台中市,后里,后里,1,91,31,265700,0
嘉義分所太陽光電,matched,太陽能,嘉義市,嘉義分所太陽光電發電站,嘉義分所太陽光電,1,258,31,869419,0
嘉義民雄太陽光電,matched,太陽能,嘉義縣,嘉義民雄太陽光電發電站,嘉義民雄太陽光電,1,60,31,110307,0
大湳淨水場太陽光電,matched,太陽能,桃園市,大湳淨水場太陽光電發電站,大湳淨水場太陽光電,1,860,31,2490064,0
大潭電廠太陽光電,matched,太陽能,桃園市,大潭電廠太陽光電發電站,大潭電廠太陽光電,2,1361,31,3842294,0
大潭風力,matched,陸域風力,桃園市,大潭風力發電站,大潭風力,3,15100,31,47691929,0
平鎮淨水場太陽光電,matched,太陽能,桃園市,平鎮淨水場太陽光電發電站,平鎮淨水場太陽光電,1,1167,31,3364678,0
彰化彰濱太陽光電,matched,太陽能,彰化縣,彰化彰濱太陽光電發電站,彰化彰濱太陽光電,1,99999,31,334113142,0
彰化永興風力,matched,陸域風力,彰化縣,彰化永興風力發電站,彰化永興風力,1,9200,31,59075014,0
彰化王功風力,matched,陸域風力,彰化縣,彰化王功風力發電站,彰化王功風力,1,23000,31,140888941,0
彰工風力,matched,陸域風力,彰化縣,彰工風力發電站,彰工風力,4,86200,31,439532986,0
彰林,matched,太陽能,彰化縣,彰林,彰林,1,258,31,889279,0
恆春風力,matched,陸域風力,屏東縣,恆春風力發電站,恆春風力,1,4500,31,28865193,0
新竹香山風力,matched,陸域風力,新竹市,新竹香山風力發電站,新竹香山風力,1,12000,31,30061354,0
東勢新伯公太陽光電,matched,太陽能,台中市,東勢新伯公太陽光電發電站,東勢新伯公太陽光電,3,754,31,2273462,0
東興淨水場太陽光電,matched,太陽能,苗栗縣,東興淨水場太陽光電發電站,東興淨水場太陽光電,1,737,31,2244865,0
林口風力,matched,陸域風力,新北市,林口風力發電站,林口風力,1,6000,31,32259599,0
核三廠太陽光電,matched,太陽能,屏東縣,核三廠太陽光電發電站,核三廠太陽光電,5,24632,31,29286283,0
永安鹽灘地太陽光電,matched,太陽能,高雄市,永安鹽灘地太陽光電發電站,永安鹽灘地太陽光電,1,4637,31,11547867,0
淡水3.5萬噸配水池太陽光電,matched,太陽能,新北市,淡水3.5萬噸配水池太陽光電發電站,淡水3.5萬噸配水池太陽光電,1,307,31,920835,0
澎湖七美太陽光電,matched,太陽能,澎湖縣,澎湖七美太陽光電發電站,澎湖七美太陽光電,2,355,31,745099,0
